audio_name,applied_effects,random_effects,similarity_indv,similarity_indv_effects_only
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{0: {'rate_hz': 17.23}, 3: {'gain_db': -7.22}, 2: {'drive_db': 2.85}, 1: {'delay_seconds': 2.24}, 5: {'wet_level': 0.26}, 4: {'depth': 0.52}}",0.2781633503110013,0.6666666666666666
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{3: {'gain_db': 3.46}, 0: {'rate_hz': 13.01}, 5: {'wet_level': 0.54}, 4: {'depth': 0.47}, 2: {'drive_db': 4.31}}",0.32811067955053147,0.8
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}",{3: {'gain_db': -5.04}},0.0,0.0
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}",{2: {'drive_db': 5.45}},0.0844081942336874,0.25
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{2: {'drive_db': 1.46}, 5: {'wet_level': 0.5}, 4: {'depth': 0.47}, 0: {'rate_hz': 4.9}, 3: {'gain_db': -8.17}, 1: {'delay_seconds': 4.67}}",0.5076712623304551,0.8333333333333333
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{2: {'drive_db': 2.77}, 1: {'delay_seconds': 1.83}, 4: {'depth': 0.33}}",0.3015469379105743,0.3333333333333333
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{3: {'gain_db': -4.94}, 0: {'rate_hz': 1.04}}",0.12910186711247293,0.3333333333333333
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{0: {'rate_hz': 1.78}, 1: {'delay_seconds': 4.55}, 3: {'gain_db': 6.03}, 5: {'wet_level': 0.52}, 4: {'depth': 0.23}, 2: {'drive_db': 8.04}}",0.5732744931037995,0.6666666666666666
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 6.23}, 3: {'gain_db': 8.15}, 2: {'drive_db': 15.45}}",0.3296352678016652,0.5
9.mp3,{3: {'gain_db': 8.18}},"{3: {'gain_db': 2.6}, 1: {'delay_seconds': 1.17}, 4: {'depth': 0.52}, 2: {'drive_db': 17.32}, 0: {'rate_hz': 8.32}}",0.1386138613861386,0.2
10.mp3,"{2: {'drive_db': 6.59}, 0: {'rate_hz': 18.59}}","{1: {'delay_seconds': 3.01}, 5: {'wet_level': 0.46}, 3: {'gain_db': -6.04}, 0: {'rate_hz': 2.47}, 4: {'depth': 0.47}}",0.016714042069357584,0.2
11.mp3,"{5: {'wet_level': 0.3}, 0: {'rate_hz': 4.78}, 4: {'depth': 0.22}, 2: {'drive_db': 18.85}, 3: {'gain_db': -5.75}, 1: {'delay_seconds': 1.46}}",{2: {'drive_db': 12.29}},0.10541549953314658,0.16666666666666666
12.mp3,"{5: {'wet_level': 0.4}, 3: {'gain_db': -3.81}}",{2: {'drive_db': 18.62}},0.0,0.0
13.mp3,"{4: {'depth': 0.37}, 2: {'drive_db': 17.28}, 1: {'delay_seconds': 1.2}, 0: {'rate_hz': 9.86}, 3: {'gain_db': -3.47}}","{1: {'delay_seconds': 1.56}, 0: {'rate_hz': 8.34}, 5: {'wet_level': 0.58}, 3: {'gain_db': 9.01}}",0.3657716872933774,0.6000000000000001
14.mp3,"{1: {'delay_seconds': 4.19}, 5: {'wet_level': 0.59}, 0: {'rate_hz': 15.15}, 2: {'drive_db': 15.43}, 3: {'gain_db': -1.14}}","{3: {'gain_db': -1.74}, 4: {'depth': 0.53}, 0: {'rate_hz': 14.87}, 2: {'drive_db': 1.94}}",0.3982988230365967,0.6000000000000001
15.mp3,"{4: {'depth': 0.23}, 1: {'delay_seconds': 2.75}, 3: {'gain_db': -2.59}, 2: {'drive_db': 2.67}, 5: {'wet_level': 0.6}}","{0: {'rate_hz': 14.44}, 5: {'wet_level': 0.33}, 3: {'gain_db': -5.41}, 1: {'delay_seconds': 4.95}}",0.22464698614420614,0.6000000000000001
16.mp3,"{3: {'gain_db': 0.22}, 1: {'delay_seconds': 2.95}, 2: {'drive_db': 17.73}, 5: {'wet_level': 0.42}, 4: {'depth': 0.22}, 0: {'rate_hz': 12.71}}","{0: {'rate_hz': 17.21}, 4: {'depth': 0.5}}",0.1464784934154344,0.3333333333333333
17.mp3,"{3: {'gain_db': 3.24}, 4: {'depth': 0.52}, 5: {'wet_level': 0.35}, 2: {'drive_db': 19.54}, 1: {'delay_seconds': 1.2}}","{1: {'delay_seconds': 1.74}, 2: {'drive_db': 10.64}, 0: {'rate_hz': 16.09}, 3: {'gain_db': -9.2}, 4: {'depth': 0.4}}",0.4126549095242237,0.8
18.mp3,"{3: {'gain_db': -1.54}, 1: {'delay_seconds': 1.88}, 5: {'wet_level': 0.44}}","{1: {'delay_seconds': 1.99}, 0: {'rate_hz': 11.33}, 5: {'wet_level': 0.21}, 4: {'depth': 0.56}, 2: {'drive_db': 14.56}, 3: {'gain_db': -3.92}}",0.3000285147165562,0.5
19.mp3,"{5: {'wet_level': 0.52}, 4: {'depth': 0.48}, 3: {'gain_db': 2.58}, 1: {'delay_seconds': 3.55}, 0: {'rate_hz': 19.65}, 2: {'drive_db': 8.38}}",{5: {'wet_level': 0.29}},0.04687499999999998,0.16666666666666666
