audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}",0.2378584241000348,24.99340876889842,"[{4: {'depth': 0.35}, 5: {'wet_level': 0.33}}, {3: {'gain_db': 8.6}, 4: {'depth': 0.4}}, {3: {'gain_db': 8.6}, 4: {'depth': 0.4}}, {3: {'gain_db': 8.6}, 4: {'depth': 0.4}}, {3: {'gain_db': 8.6}, 4: {'depth': 0.4}}, {3: {'gain_db': 6.27}, 4: {'depth': 0.6}, 2: {'drive_db': 19.21}}, {3: {'gain_db': 6.27}, 4: {'depth': 0.6}, 2: {'drive_db': 19.21}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}, {5: {'wet_level': 0.23}, 4: {'depth': 0.52}, 2: {'drive_db': 12.16}}]","[27.056517270363884, 26.9557257959872, 26.9557257959872, 26.9557257959872, 26.9557257959872, 25.13746550045881, 25.13746550045881, 24.99340876889842, 24.99340876889842, 24.99340876889842, 24.99340876889842, 24.99340876889842, 24.99340876889842, 24.99340876889842, 24.99340876889842]","[0.3110521235521236, 0.17857142857142855, 0.17857142857142855, 0.17857142857142855, 0.17857142857142855, 0.014727815063385524, 0.014727815063385524, 0.2378584241000348, 0.2378584241000348, 0.2378584241000348, 0.2378584241000348, 0.2378584241000348, 0.2378584241000348, 0.2378584241000348, 0.2378584241000348]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{0: {'rate_hz': 7.64}, 5: {'wet_level': 0.48}, 4: {'depth': 0.27}, 3: {'gain_db': -9.6}}",0.5762288952568564,10.44286650748465,"[{5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {5: {'wet_level': 0.4}, 4: {'depth': 0.34}, 2: {'drive_db': 4.53}, 0: {'rate_hz': 9.64}}, {0: {'rate_hz': 7.64}, 5: {'wet_level': 0.48}, 4: {'depth': 0.27}, 3: {'gain_db': -9.6}}, {0: {'rate_hz': 7.64}, 5: {'wet_level': 0.48}, 4: {'depth': 0.27}, 3: {'gain_db': -9.6}}, {0: {'rate_hz': 7.64}, 5: {'wet_level': 0.48}, 4: {'depth': 0.27}, 3: {'gain_db': -9.6}}, {0: {'rate_hz': 7.64}, 5: {'wet_level': 0.48}, 4: {'depth': 0.27}, 3: {'gain_db': -9.6}}, {0: {'rate_hz': 7.64}, 5: {'wet_level': 0.48}, 4: {'depth': 0.27}, 3: {'gain_db': -9.6}}]","[10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.863462217701235, 10.44286650748465, 10.44286650748465, 10.44286650748465, 10.44286650748465, 10.44286650748465]","[0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.758938623029688, 0.5762288952568564, 0.5762288952568564, 0.5762288952568564, 0.5762288952568564, 0.5762288952568564]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}",0.930367332382311,9.498752348525032,"[{0: {'rate_hz': 14.47}, 4: {'depth': 0.38}, 2: {'drive_db': 7.33}}, {2: {'drive_db': 3.13}, 0: {'rate_hz': 13.21}, 3: {'gain_db': -8.07}, 4: {'depth': 0.42}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}, {0: {'rate_hz': 15.22}, 4: {'depth': 0.39}}]","[13.86950970519338, 13.141573440765123, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032, 9.498752348525032]","[0.6258123315897923, 0.40522467902995724, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311, 0.930367332382311]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}",0.6924946536469415,5.582093296104762,"[{1: {'delay_seconds': 2.18}, 5: {'wet_level': 0.31}, 0: {'rate_hz': 5.07}, 4: {'depth': 0.49}}, {5: {'wet_level': 0.27}, 2: {'drive_db': 19.37}, 0: {'rate_hz': 10.23}, 3: {'gain_db': 7.45}, 1: {'delay_seconds': 2.33}, 4: {'depth': 0.42}}, {1: {'delay_seconds': 2.41}, 5: {'wet_level': 0.3}, 0: {'rate_hz': 5.05}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 2.41}, 5: {'wet_level': 0.3}, 0: {'rate_hz': 5.05}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 2.31}, 4: {'depth': 0.47}, 2: {'drive_db': 16.1}, 0: {'rate_hz': 7.28}}, {1: {'delay_seconds': 2.31}, 4: {'depth': 0.47}, 2: {'drive_db': 16.1}, 0: {'rate_hz': 7.28}}, {1: {'delay_seconds': 2.31}, 4: {'depth': 0.47}, 2: {'drive_db': 16.1}, 0: {'rate_hz': 7.28}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}, {5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.33}, 0: {'rate_hz': 4.47}}]","[8.385050894108458, 7.260627153279775, 7.087169826592739, 7.087169826592739, 6.900689588751797, 6.900689588751797, 6.900689588751797, 5.582093296104762, 5.582093296104762, 5.582093296104762, 5.582093296104762, 5.582093296104762, 5.582093296104762, 5.582093296104762, 5.582093296104762]","[0.6480514364891676, 0.4492543684647334, 0.6306156021219206, 0.6306156021219206, 0.6591450051400153, 0.6591450051400153, 0.6591450051400153, 0.6924946536469415, 0.6924946536469415, 0.6924946536469415, 0.6924946536469415, 0.6924946536469415, 0.6924946536469415, 0.6924946536469415, 0.6924946536469415]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}",0.5328829228503124,16.06997161892587,"[{3: {'gain_db': -6.16}, 1: {'delay_seconds': 3.66}, 4: {'depth': 0.44}, 2: {'drive_db': 4.06}, 0: {'rate_hz': 2.84}}, {1: {'delay_seconds': 3.43}, 5: {'wet_level': 0.2}, 0: {'rate_hz': 3.77}, 2: {'drive_db': 15.79}}, {3: {'gain_db': 6.53}, 0: {'rate_hz': 1.46}, 1: {'delay_seconds': 3.86}, 2: {'drive_db': 11.95}, 5: {'wet_level': 0.5}}, {4: {'depth': 0.59}, 1: {'delay_seconds': 4.22}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.41}}, {4: {'depth': 0.59}, 1: {'delay_seconds': 4.22}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.41}}, {4: {'depth': 0.59}, 1: {'delay_seconds': 4.22}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.41}}, {4: {'depth': 0.59}, 1: {'delay_seconds': 4.22}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.41}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.09}, 5: {'wet_level': 0.39}}]","[27.469515242040064, 27.05110566076867, 24.158370561489342, 20.93236135010415, 20.93236135010415, 20.93236135010415, 20.93236135010415, 16.06997161892587, 16.06997161892587, 16.06997161892587, 16.06997161892587, 16.06997161892587, 16.06997161892587, 16.06997161892587, 16.06997161892587]","[0.5289083740028435, 0.3485589979971443, 0.6961911902942544, 0.4653637412646346, 0.4653637412646346, 0.4653637412646346, 0.4653637412646346, 0.5328829228503124, 0.5328829228503124, 0.5328829228503124, 0.5328829228503124, 0.5328829228503124, 0.5328829228503124, 0.5328829228503124, 0.5328829228503124]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}",{0: {'rate_hz': 5.51}},0.3194344596213755,0.1853332848189133,"[{0: {'rate_hz': 9.83}, 4: {'depth': 0.52}}, {5: {'wet_level': 0.31}, 1: {'delay_seconds': 1.01}, 4: {'depth': 0.37}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {1: {'delay_seconds': 1.01}, 4: {'depth': 0.25}, 2: {'drive_db': 11.87}}, {0: {'rate_hz': 5.51}}]","[0.4915458439741626, 0.46042049775122584, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.2705153315036986, 0.18533328481891334]","[0.2437095614665708, 0.0, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.1722822631913541, 0.3194344596213755]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{1: {'delay_seconds': 1.63}, 4: {'depth': 0.23}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.38}, 2: {'drive_db': 10.24}}",0.4364195476681966,0.3460798724639249,"[{5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 4.98}, 4: {'depth': 0.45}, 3: {'gain_db': -7.42}}, {1: {'delay_seconds': 1.63}, 4: {'depth': 0.23}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.38}, 2: {'drive_db': 10.24}}, {1: {'delay_seconds': 1.63}, 4: {'depth': 0.23}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.38}, 2: {'drive_db': 10.24}}]","[0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.4583219428762766, 0.34607987246392496, 0.34607987246392496]","[0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.2732093784004066, 0.4364195476681966, 0.4364195476681966]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}",0.7546930178339948,6.182822814177288,"[{3: {'gain_db': 3.03}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 5.76}}, {3: {'gain_db': 3.03}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 5.76}}, {3: {'gain_db': 3.03}, 5: {'wet_level': 0.33}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 5.76}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}, {5: {'wet_level': 0.52}, 3: {'gain_db': -1.61}, 0: {'rate_hz': 2.76}, 2: {'drive_db': 14.89}}]","[7.181358385793814, 7.181358385793814, 7.181358385793814, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288, 6.182822814177288]","[0.7873046388413277, 0.7873046388413277, 0.7873046388413277, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948, 0.7546930178339948]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 2.55}, 4: {'depth': 0.3}}",0.4569088319088319,9.58329909108898,"[{4: {'depth': 0.32}, 2: {'drive_db': 10.16}, 3: {'gain_db': 2.3}, 0: {'rate_hz': 2.56}, 5: {'wet_level': 0.28}}, {4: {'depth': 0.25}, 0: {'rate_hz': 2.89}}, {4: {'depth': 0.57}, 0: {'rate_hz': 2.56}, 2: {'drive_db': 10.52}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.26}, 2: {'drive_db': 16.6}, 0: {'rate_hz': 2.89}}, {4: {'depth': 0.26}, 0: {'rate_hz': 2.42}, 5: {'wet_level': 0.3}, 2: {'drive_db': 10.31}}, {4: {'depth': 0.26}, 0: {'rate_hz': 2.42}, 5: {'wet_level': 0.3}, 2: {'drive_db': 10.31}}, {4: {'depth': 0.26}, 0: {'rate_hz': 2.42}, 5: {'wet_level': 0.3}, 2: {'drive_db': 10.31}}, {0: {'rate_hz': 2.89}, 4: {'depth': 0.25}, 5: {'wet_level': 0.51}, 3: {'gain_db': -8.22}}, {0: {'rate_hz': 2.89}, 4: {'depth': 0.25}, 5: {'wet_level': 0.51}, 3: {'gain_db': -8.22}}, {0: {'rate_hz': 2.89}, 4: {'depth': 0.25}, 5: {'wet_level': 0.51}, 3: {'gain_db': -8.22}}, {0: {'rate_hz': 2.89}, 2: {'drive_db': 5.31}, 4: {'depth': 0.28}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.55}, 4: {'depth': 0.3}}, {0: {'rate_hz': 2.55}, 4: {'depth': 0.3}}, {0: {'rate_hz': 2.55}, 4: {'depth': 0.3}}, {0: {'rate_hz': 2.55}, 4: {'depth': 0.3}}]","[17.37943718132688, 14.464119817846791, 14.113331639114715, 13.586095265422315, 12.482028205550018, 12.482028205550018, 12.482028205550018, 12.313871315630198, 12.313871315630198, 12.313871315630198, 10.737443993482712, 9.58329909108898, 9.58329909108898, 9.58329909108898, 9.58329909108898]","[0.739676253860422, 0.48678774928774926, 0.3692663817663818, 0.47984330484330484, 0.7356837606837607, 0.7356837606837607, 0.7356837606837607, 0.597732821985649, 0.597732821985649, 0.597732821985649, 0.6826210826210826, 0.4569088319088319, 0.4569088319088319, 0.4569088319088319, 0.4569088319088319]"
9.mp3,{3: {'gain_db': 8.18}},{3: {'gain_db': -4.6}},0.29702970297029707,0.0537866627416162,[{3: {'gain_db': -4.6}}],[0.05378666274161626],[0.29702970297029707]
